work_type,t,shift,nurse_id,value
overtime,0,Morning,0,0
regular,0,Morning,0,0
overtime,0,Morning,1,0
regular,0,Morning,1,0
overtime,0,Morning,2,0
regular,0,Morning,2,0
overtime,0,Morning,3,0
regular,0,Morning,3,1
overtime,0,Morning,4,0
regular,0,Morning,4,0
overtime,0,Morning,5,0
regular,0,Morning,5,0
overtime,0,Morning,6,0
regular,0,Morning,6,0
overtime,0,Morning,7,0
regular,0,Morning,7,0
overtime,0,Morning,8,0
regular,0,Morning,8,0
overtime,0,Morning,9,0
regular,0,Morning,9,1
overtime,0,Morning,10,0
regular,0,Morning,10,0
overtime,0,Morning,11,0
regular,0,Morning,11,1
overtime,0,Morning,12,0
regular,0,Morning,12,0
overtime,0,Morning,13,0
regular,0,Morning,13,1
overtime,0,Morning,14,0
regular,0,Morning,14,0
overtime,0,Morning,15,0
regular,0,Morning,15,1
overtime,0,Morning,16,0
regular,0,Morning,16,0
overtime,0,Morning,17,0
regular,0,Morning,17,0
overtime,0,Morning,18,0
regular,0,Morning,18,0
overtime,0,Morning,19,0
regular,0,Morning,19,0
overtime,0,Morning,20,0
regular,0,Morning,20,0
overtime,0,Morning,21,0
regular,0,Morning,21,0
overtime,0,Morning,22,0
regular,0,Morning,22,0
overtime,0,Morning,23,0
regular,0,Morning,23,1
overtime,0,Morning,24,0
regular,0,Morning,24,0
overtime,0,Morning,25,0
regular,0,Morning,25,0
overtime,0,Morning,26,0
regular,0,Morning,26,0
overtime,0,Morning,27,0
regular,0,Morning,27,1
overtime,0,Morning,28,0
regular,0,Morning,28,0
overtime,0,Morning,29,0
regular,0,Morning,29,0
overtime,0,Evening,0,0
regular,0,Evening,0,0
overtime,0,Evening,1,0
regular,0,Evening,1,1
overtime,0,Evening,2,0
regular,0,Evening,2,0
overtime,0,Evening,3,0
regular,0,Evening,3,0
overtime,0,Evening,4,0
regular,0,Evening,4,1
overtime,0,Evening,5,0
regular,0,Evening,5,0
overtime,0,Evening,6,0
regular,0,Evening,6,1
overtime,0,Evening,7,0
regular,0,Evening,7,0
overtime,0,Evening,8,0
regular,0,Evening,8,0
overtime,0,Evening,9,0
regular,0,Evening,9,0
overtime,0,Evening,10,0
regular,0,Evening,10,0
overtime,0,Evening,11,0
regular,0,Evening,11,0
overtime,0,Evening,12,0
regular,0,Evening,12,1
overtime,0,Evening,13,0
regular,0,Evening,13,0
overtime,0,Evening,14,0
regular,0,Evening,14,0
overtime,0,Evening,15,0
regular,0,Evening,15,0
overtime,0,Evening,16,0
regular,0,Evening,16,1
overtime,0,Evening,17,0
regular,0,Evening,17,1
overtime,0,Evening,18,0
regular,0,Evening,18,0
overtime,0,Evening,19,0
regular,0,Evening,19,0
overtime,0,Evening,20,0
regular,0,Evening,20,0
overtime,0,Evening,21,0
regular,0,Evening,21,0
overtime,0,Evening,22,0
regular,0,Evening,22,0
overtime,0,Evening,23,0
regular,0,Evening,23,0
overtime,0,Evening,24,0
regular,0,Evening,24,0
overtime,0,Evening,25,0
regular,0,Evening,25,0
overtime,0,Evening,26,0
regular,0,Evening,26,1
overtime,0,Evening,27,0
regular,0,Evening,27,0
overtime,0,Evening,28,0
regular,0,Evening,28,0
overtime,0,Evening,29,0
regular,0,Evening,29,0
overtime,0,Night,0,0
regular,0,Night,0,1
overtime,0,Night,1,0
regular,0,Night,1,0
overtime,0,Night,2,0
regular,0,Night,2,0
overtime,0,Night,3,0
regular,0,Night,3,0
overtime,0,Night,4,0
regular,0,Night,4,0
overtime,0,Night,5,0
regular,0,Night,5,1
overtime,0,Night,6,0
regular,0,Night,6,0
overtime,0,Night,7,0
regular,0,Night,7,0
overtime,0,Night,8,0
regular,0,Night,8,0
overtime,0,Night,9,0
regular,0,Night,9,0
overtime,0,Night,10,0
regular,0,Night,10,0
overtime,0,Night,11,0
regular,0,Night,11,0
overtime,0,Night,12,0
regular,0,Night,12,0
overtime,0,Night,13,1
regular,0,Night,13,0
overtime,0,Night,14,0
regular,0,Night,14,0
overtime,0,Night,15,0
regular,0,Night,15,0
overtime,0,Night,16,0
regular,0,Night,16,0
overtime,0,Night,17,0
regular,0,Night,17,0
overtime,0,Night,18,0
regular,0,Night,18,1
overtime,0,Night,19,0
regular,0,Night,19,1
overtime,0,Night,20,0
regular,0,Night,20,1
overtime,0,Night,21,0
regular,0,Night,21,0
overtime,0,Night,22,0
regular,0,Night,22,0
overtime,0,Night,23,0
regular,0,Night,23,0
overtime,0,Night,24,0
regular,0,Night,24,0
overtime,0,Night,25,0
regular,0,Night,25,1
overtime,0,Night,26,0
regular,0,Night,26,0
overtime,0,Night,27,0
regular,0,Night,27,0
overtime,0,Night,28,0
regular,0,Night,28,0
overtime,0,Night,29,0
regular,0,Night,29,0
overtime,1,Morning,0,0
regular,1,Morning,0,0
overtime,1,Morning,1,0
regular,1,Morning,1,0
overtime,1,Morning,2,0
regular,1,Morning,2,0
overtime,1,Morning,3,0
regular,1,Morning,3,1
overtime,1,Morning,4,0
regular,1,Morning,4,0
overtime,1,Morning,5,0
regular,1,Morning,5,0
overtime,1,Morning,6,0
regular,1,Morning,6,1
overtime,1,Morning,7,0
regular,1,Morning,7,0
overtime,1,Morning,8,0
regular,1,Morning,8,0
overtime,1,Morning,9,0
regular,1,Morning,9,0
overtime,1,Morning,10,0
regular,1,Morning,10,0
overtime,1,Morning,11,0
regular,1,Morning,11,0
overtime,1,Morning,12,0
regular,1,Morning,12,1
overtime,1,Morning,13,0
regular,1,Morning,13,0
overtime,1,Morning,14,0
regular,1,Morning,14,0
overtime,1,Morning,15,0
regular,1,Morning,15,0
overtime,1,Morning,16,0
regular,1,Morning,16,0
overtime,1,Morning,17,1
regular,1,Morning,17,0
overtime,1,Morning,18,0
regular,1,Morning,18,0
overtime,1,Morning,19,0
regular,1,Morning,19,0
overtime,1,Morning,20,0
regular,1,Morning,20,0
overtime,1,Morning,21,0
regular,1,Morning,21,0
overtime,1,Morning,22,0
regular,1,Morning,22,0
overtime,1,Morning,23,0
regular,1,Morning,23,1
overtime,1,Morning,24,0
regular,1,Morning,24,0
overtime,1,Morning,25,0
regular,1,Morning,25,0
overtime,1,Morning,26,0
regular,1,Morning,26,0
overtime,1,Morning,27,0
regular,1,Morning,27,1
overtime,1,Morning,28,0
regular,1,Morning,28,0
overtime,1,Morning,29,0
regular,1,Morning,29,1
overtime,1,Evening,0,0
regular,1,Evening,0,0
overtime,1,Evening,1,0
regular,1,Evening,1,0
overtime,1,Evening,2,0
regular,1,Evening,2,1
overtime,1,Evening,3,0
regular,1,Evening,3,0
overtime,1,Evening,4,0
regular,1,Evening,4,1
overtime,1,Evening,5,0
regular,1,Evening,5,0
overtime,1,Evening,6,0
regular,1,Evening,6,0
overtime,1,Evening,7,0
regular,1,Evening,7,1
overtime,1,Evening,8,0
regular,1,Evening,8,1
overtime,1,Evening,9,0
regular,1,Evening,9,0
overtime,1,Evening,10,0
regular,1,Evening,10,0
overtime,1,Evening,11,0
regular,1,Evening,11,0
overtime,1,Evening,12,0
regular,1,Evening,12,0
overtime,1,Evening,13,0
regular,1,Evening,13,0
overtime,1,Evening,14,0
regular,1,Evening,14,0
overtime,1,Evening,15,0
regular,1,Evening,15,0
overtime,1,Evening,16,1
regular,1,Evening,16,0
overtime,1,Evening,17,0
regular,1,Evening,17,0
overtime,1,Evening,18,0
regular,1,Evening,18,0
overtime,1,Evening,19,0
regular,1,Evening,19,0
